_id,version,id,timestamp,stored,actor,verb,object,result,authority,context
68f01f068c4188001ddc0913,1.0.0,6e28754a-c015-4cfc-96cb-4ac68992d280,2025-10-15T22:24:06.268Z,2025-10-15T22:24:06.268Z,"{""objectType"":""Agent"",""name"":""學生-66155E3D4DFD7CCDDBC88FBD921E1E37"",""account"":{""name"":""66155E3D4DFD7CCDDBC88FBD921E1E37"",""homePage"":""https://vrspace.local""}}","{""display"":{""zh-TW"":""按下控制器按鈕-F"",""en-US"":""pressed controller button-F""},""id"":""http://adlnet.gov/expapi/verbs/pressed/F""}","{""objectType"":""Activity"",""definition"":{""name"":{""zh-TW"":""撿起耳機"",""en-US"":""Pick Up Earphone""}},""id"":""https://nccu-rb521.nccu.edu.tw/vr/activity/pick-up-earphone""}",,"{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}","{""language"":""zh-TW"",""platform"":""VR Learning""}"
68f01e468c4188001ddc0912,1.0.0,288448e0-4c4f-4d10-9a04-cbe840695e93,2025-10-15T22:20:54.517Z,2025-10-15T22:20:54.517Z,"{""objectType"":""Agent"",""name"":""學生-8B9D89FA471152C2CCBA3A9CD0977C41"",""account"":{""name"":""8B9D89FA471152C2CCBA3A9CD0977C41"",""homePage"":""https://vrspace.local""}}","{""display"":{""zh-TW"":""按下控制器按鈕-F"",""en-US"":""pressed controller button-F""},""id"":""http://adlnet.gov/expapi/verbs/pressed/F""}","{""objectType"":""Activity"",""definition"":{""name"":{""zh-TW"":""撿起耳機"",""en-US"":""Pick Up Earphone""}},""id"":""https://nccu-rb521.nccu.edu.tw/vr/activity/pick-up-earphone""}",,"{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}","{""language"":""zh-TW"",""platform"":""VR Learning""}"
68f01db08c4188001ddc0911,1.0.0,96350482-be94-44c8-b751-ba5d4da6d2ac,2025-10-15T22:18:24.663Z,2025-10-15T22:18:24.663Z,"{""objectType"":""Agent"",""name"":""學生-3A860307469ACAF47CB969A6BBB1AD5E"",""account"":{""name"":""3A860307469ACAF47CB969A6BBB1AD5E"",""homePage"":""https://vrspace.local""}}","{""display"":{""zh-TW"":""按下控制器按鈕-F"",""en-US"":""pressed controller button-F""},""id"":""http://adlnet.gov/expapi/verbs/pressed/F""}","{""objectType"":""Activity"",""definition"":{""name"":{""zh-TW"":""撿起耳機"",""en-US"":""Pick Up Earphone""}},""id"":""https://nccu-rb521.nccu.edu.tw/vr/activity/pick-up-earphone""}",,"{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}","{""language"":""zh-TW"",""platform"":""VR Learning""}"
68ef86538c4188001ddc0910,1.0.0,f1a931ad-dca8-4bbf-984d-e8c093d75b04,2025-10-15T11:32:35.518Z,2025-10-15T11:32:35.518Z,"{""objectType"":""Agent"",""name"":""學生-4B5BEAF84D062DF2A50BD8875EDF6978"",""account"":{""name"":""4B5BEAF84D062DF2A50BD8875EDF6978"",""homePage"":""https://vrspace.local""}}","{""display"":{""zh-TW"":""按下控制器按鈕-F"",""en-US"":""pressed controller button-F""},""id"":""http://adlnet.gov/expapi/verbs/pressed/F""}","{""objectType"":""Activity"",""definition"":{""name"":{""zh-TW"":""從火箭發射場進入太空艙"",""en-US"":""Enter Spaceship From Launchpad""}},""id"":""https://nccu-rb521.nccu.edu.tw/vr/activity/enter-spaceship-from-launchpad""}",,"{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}","{""language"":""zh-TW"",""platform"":""VR Learning""}"
68ef86158c4188001ddc090f,1.0.0,406d42d7-b068-425e-8fde-0d06fd1e20bc,2025-10-15T11:31:33.854Z,2025-10-15T11:31:33.854Z,"{""objectType"":""Agent"",""name"":""學生-4B5BEAF84D062DF2A50BD8875EDF6978"",""account"":{""name"":""4B5BEAF84D062DF2A50BD8875EDF6978"",""homePage"":""https://vrspace.local""}}","{""display"":{""zh-TW"":""按下控制器按鈕-F"",""en-US"":""pressed controller button-F""},""id"":""http://adlnet.gov/expapi/verbs/pressed/F""}","{""objectType"":""Activity"",""definition"":{""name"":{""zh-TW"":""搭乘電梯向上"",""en-US"":""Take  Lift To Go Up""}},""id"":""https://nccu-rb521.nccu.edu.tw/vr/activity/take--lift-to-go-up""}",,"{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}","{""language"":""zh-TW"",""platform"":""VR Learning""}"
68dbad0f8c4188001ddc090e,1.0.0,f00e9509-0143-436e-8c18-bbaf1e925e39,2025-09-30T10:12:31.206Z,2025-09-30T10:12:31.206Z,"{""objectType"":""Agent"",""name"":""學生-DA5B240340E354AA8EC594A1230E94F4"",""account"":{""name"":""DA5B240340E354AA8EC594A1230E94F4"",""homePage"":""https://vrspace.local""}}","{""display"":{""zh-TW"":""按下控制器按鈕-F"",""en-US"":""pressed controller button-F""},""id"":""http://adlnet.gov/expapi/verbs/pressed/F""}","{""objectType"":""Activity"",""definition"":{""name"":{""zh-TW"":""撿起耳機"",""en-US"":""Pick Up Earphone""}},""id"":""https://nccu-rb521.nccu.edu.tw/vr/activity/pick-up-earphone""}",,"{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}","{""language"":""zh-TW"",""platform"":""VR Learning""}"
68da4ac58c4188001ddc090d,1.0.0,c743dd4e-d741-45a9-9a20-138d3a420c56,2025-09-29T09:00:53.551Z,2025-09-29T09:00:53.551Z,"{""objectType"":""Agent"",""name"":""學生-D8E3F8784F541F7F710EAEBC46E5FBD2"",""account"":{""name"":""D8E3F8784F541F7F710EAEBC46E5FBD2"",""homePage"":""https://vrspace.local""}}","{""id"":""http://adlnet.gov/expapi/verbs/enter_sections"",""display"":{""zh-TW"":""進入"",""en-US"":""Enter""}}","{""objectType"":""Activity"",""definition"":{""name"":{""zh-TW"":""節點艙2"",""en-US"":""Node2""}},""id"":""https://example.org/vr/activity/node2""}",,"{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}","{""language"":""zh-TW"",""platform"":""VR Learning""}"
68da4ab38c4188001ddc090c,1.0.0,23d36a66-e633-456d-a231-27c15637ffb4,2025-09-29T09:00:35.174Z,2025-09-29T09:00:35.174Z,"{""objectType"":""Agent"",""name"":""學生-FD749B544C7B30DDC652A9A4F2698942"",""account"":{""name"":""FD749B544C7B30DDC652A9A4F2698942"",""homePage"":""https://vrspace.local""}}","{""id"":""http://adlnet.gov/expapi/verbs/enter_sections"",""display"":{""zh-TW"":""進入"",""en-US"":""Enter""}}","{""objectType"":""Activity"",""definition"":{""name"":{""zh-TW"":""節點艙2"",""en-US"":""Node2""}},""id"":""https://example.org/vr/activity/node2""}",,"{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}","{""language"":""zh-TW"",""platform"":""VR Learning""}"
68da22ec8c4188001ddc090b,1.0.0,7e4c96e8-c7d1-4d1a-9504-7dad4c8e7d87,2025-09-29T06:10:52.599Z,2025-09-29T06:10:52.599Z,"{""objectType"":""Agent"",""name"":""學生-79B73C2348936FBFB443708AAE2F448B"",""account"":{""name"":""79B73C2348936FBFB443708AAE2F448B"",""homePage"":""https://vrspace.local""}}","{""display"":{""zh-TW"":""按下控制器按鈕-F"",""en-US"":""pressed controller button-F""},""id"":""http://adlnet.gov/expapi/verbs/pressed/F""}","{""objectType"":""Activity"",""definition"":{""name"":{""zh-TW"":""播放水星介紹"",""en-US"":""Play Mercury Introduction""}},""id"":""https://nccu-rb521.nccu.edu.tw/vr/activity/play-mercury-introduction""}",,"{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}","{""language"":""zh-TW"",""platform"":""VR Learning"",""extensions"":{""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/vr-device"":""裝置1"",""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/vr-current-task/q_sc_test_s01_ob01"":""搭乘接駁車"",""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/vr-current-task/q_sc_test_s01_ob02"":""觀看太陽系星球的介紹""}}"
68d37d2d8c4188001ddc090a,1.0.0,a8dc6c84-7814-4370-95be-c06b8296f577,2025-09-24T05:10:05.536Z,2025-09-24T05:10:05.536Z,"{""objectType"":""Agent"",""name"":""學生-7EC5BD4C49AA9D39EF99C1A42D74605E"",""account"":{""name"":""7EC5BD4C49AA9D39EF99C1A42D74605E"",""homePage"":""https://vrspace.local""}}","{""display"":{""zh-TW"":""按下控制器按鈕-F"",""en-US"":""pressed controller button-F""},""id"":""http://adlnet.gov/expapi/verbs/pressed/F""}","{""objectType"":""Activity"",""definition"":{""name"":{""zh-TW"":""撿起耳機"",""en-US"":""Pick Up Earphone""}},""id"":""https://nccu-rb521.nccu.edu.tw/vr/activity/pick-up-earphone""}",,"{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}","{""language"":""zh-TW"",""platform"":""VR Learning""}"
